,answer
357624,0
100453,water
163899,white
152244,brown
147167,candy
348162,water
377681,white
305390,no
165769,no
342707,yes
96449,yes
12359,bathroom
177134,table
348560,1
351490,no
164306,yes
356756,no
98038,no
20807,yes
47428,no
147662,no
198412,female
340226,no
358547,office
179224,no
17556,1
106650,kites
2240,airplane
370107,white
115193,sand
278204,no
371507,20
98153,yes
2678,no
188942,blue
29158,brown
73911,right
90644,2
76353,skateboarding
331992,wine
334156,yes
14009,1
323562,3
147421,yes
17567,4
266544,yes
176902,no
177678,no
235750,cows
352207,dog
80558,yes
15810,bacon
344356,dell
187566,5
1480,yes
14946,spanish
287138,flags
340644,bricks
245502,yes
149391,tennis
291757,table
112532,above
381990,police
379720,yes
9193,giraffe
341281,motorcycle
102954,helmet
299437,no one
387080,up
250071,train
145628,no
314846,no
112208,yes
307806,cross country
150458,yes
65409,yes
362519,no
345748,1
130645,yes
317765,phone
153653,winter
324311,yes
13505,cooking
122423,bat
281850,wood
5215,real
47470,no
256999,yes
109617,yes
178789,long
312847,yes
331474,no
190021,teddy bear
213825,car
187829,apples
28970,4
143902,yellow
198147,yes
355979,yes
36391,goggles
253834,laptop
51608,bananas
281242,yes
103520,laptop
33166,grass
181479,cat
247218,toilet
141073,black
246443,no
239721,7
281238,women
295508,yes
308379,chair
209477,snow
42609,2
256368,yes
303142,green
358883,black
242069,slow
329935,olives
202240,bench
269779,yes
193520,pot
103341,no
207127,restaurant
307203,no
363986,red
101502,grass
159123,black
298741,cake
79324,no
351289,no
231439,yes
17425,no
387926,yes
169442,gray
82660,yes
171196,yes
292116,2
232862,yes
45443,signs
70595,yes
345485,frisbee
134217,yes
183721,yes
63078,no
297300,no
87281,brown
94887,1
102301,yes
209348,no
207052,white
317756,no
245359,metal
274867,yes
32564,mountain
257274,woman
237024,4
35881,sunglasses
297983,12
327818,2
257374,wood
13479,yes
204492,blue
241017,baseball
351757,yes
351787,no
191351,yes
84429,woman
328782,yellow
313596,bear
89863,yes
63919,yes
216340,no
240721,yes
194521,clear
341545,yes
182879,sitting
20858,5
382144,5
221338,brown
307876,no
54776,blue
114525,no
164608,floral
225018,mountains
335558,brown
38138,no
147887,3
231818,standing
31228,broccoli
19217,square
52508,no
38208,4
16080,no one
171028,1
142934,kitchen
85952,male
152279,no
210878,no
189521,gray
97798,no
262514,yes
208080,yes
176065,yes
177424,bananas
14032,right
121168,green
314429,no
67158,blue
116861,no
380991,green
23842,6
218669,no
56589,yes
97376,white
289905,yes
372280,no
215580,no
121052,floor
170994,no
360898,bananas
272760,yes
294900,white
174730,bathroom
248603,no
224780,1
60550,talking on phone
206276,fruit
232992,black and white
105764,no
275716,0
253142,no one
257724,male
227750,no
326145,2
3087,yes
330363,no
338115,no
111563,no
4016,women
3596,yes
110509,yes
173410,3
256657,white
178049,no
180053,yes
18032,white
275598,no
366683,no
90359,1
109565,ford
141547,yes
117282,soccer
270270,sink
187825,white
53344,yes
245572,yes
260939,3
385833,yes
33756,1
254354,yes
367765,train
